Tara,unex_f_exp,inab_holiday,,,Column 1,Column 2
Austria,18.5,12.9,,Column 1,1,
Belgia,25.3,22.5,,Column 2,0.755923721,1
Bulgaria,36.5,35.5,,,,
Cehia,21.8,19.7,,,,
Cipru,47.5,45.2,,,,
Croatia,51.7,48.6,,,,
Danemarca,22.9,10.8,,,,
Estonia,31.4,24.6,,,,
Finlanda,26.4,11.8,,,,
Franta,30.6,22.2,,,,
Germania,26,12.8,,,,
Grecia,47.8,49.2,,,,
Irlanda,38,30.4,,,,
Italia,33.8,41.9,,,,
Letonia,49.8,27.7,,,,
Lituania,46.8,38.9,,,,
Luxemburg,16.7,10.1,,,,
Malta,15.1,30.8,,,,
Olanda,21.9,14.6,,,,
Polonia,29.3,33.2,,,,
Portugalia,33,40,,,,
Romania,44.3,54.1,,,,
Slovacia,30,37.3,,,,
Slovenia,33,19.4,,,,
Spania,33.9,33.5,,,,
Suedia,20.5,10.2,,,,
Ungaria,33,41.5,,,,
